TilID Xstart Ystart UZ  EPSG   MinLon    MaxLon   MinLat    MaxLat
01FFE 600000 4500040 1S  32701 -175.6148 -174.0351 -50.6311  -49.6157 
01FFF 600000 4600000 1S  32701 -175.6397 -174.0902 -49.7324  -48.7177 
01FFG 600000 4700020 1S  32701 -175.6634 -174.1426 -48.8329  -47.8189 
01FFU 600000 3900040 1S  32701 -175.4352 -173.6365 -56.0226  -55.0022 
01FFV 600000 4000000 1S  32701 -175.4693 -173.7122 -55.1248  -54.1053 
01FGA 699960 4100020 1S  32701 -174.0054 -172.2565 -54.197   -53.1589 
01FGB 699960 4200040 1S  32701 -174.0664 -172.3564 -53.2992  -52.2626 
01FGC 699960 4300000 1S  32701 -174.1243 -172.451  -52.4018  -51.3666 
01FGD 699960 4400020 1S  32701 -174.1793 -172.5409 -51.5037  -50.4698 
01FGE 699960 4500040 1S  32701 -174.2315 -172.6262 -50.6054  -49.5728 
01FGF 699960 4600000 1S  32701 -174.2812 -172.7072 -49.7075  -48.6761 
01FGG 699960 4700020 1S  32701 -174.3285 -172.7844 -48.8088  -47.7786 
01GBH 199980 4800040 1S  32701 178.9877  180       -47.8999  -46.8854 
01GBJ 199980 4900000 1S  32701 179.0554  180       -47.0003  -45.9879 
01GBK 199980 5000020 1S  32701 179.12    180       -46.1001  -45.0896 
01GBL 199980 5100040 1S  32701 179.1816  180       -45.1998  -44.1911 
01GBM 199980 5200000 1S  32701 179.2403  180       -44.3     -43.293  
01GBN 199980 5300020 1S  32701 179.2963  180       -43.3995  -42.3942 
01GBP 199980 5400040 1S  32701 179.3499  180       -42.499   -41.4951 
01GBQ 199980 5500000 1S  32701 179.401   180       -41.5989  -40.5964 
01GBR 199980 5600020 1S  32701 179.4499  180       -40.6982  -39.697  
01GCH 300000 4800040 1S  32701 -179.6766 -178.1853 -47.9348  -46.923  
01GCJ 300000 4900000 1S  32701 -179.6313 -178.1659 -47.0356  -46.0244 
01GCK 300000 5000020 1S  32701 -179.5882 -178.1474 -46.1356  -45.125  
01GCL 300000 5100040 1S  32701 -179.547  -178.1298 -45.2356  -44.2254 
01GCM 300000 5200000 1S  32701 -179.5078 -178.1129 -44.3359  -43.3262 
01GCN 300000 5300020 1S  32701 -179.4704 -178.0968 -43.4355  -42.4264 
01GCP 300000 5400040 1S  32701 -179.4346 -178.0815 -42.535   -41.5263 
01GCQ 300000 5500000 1S  32701 -179.4004 -178.0668 -41.6348  -40.6266 
01GCR 300000 5600020 1S  32701 -179.3678 -178.0528 -40.734   -39.7263 
01GDH 399960 4800040 1S  32701 -178.3394 -176.8693 -47.9411  -46.9456 
01GDJ 399960 4900000 1S  32701 -178.3167 -176.8715 -47.0416  -46.0463 
01GDK 399960 5000020 1S  32701 -178.2951 -176.8736 -46.1415  -45.1462 
01GDL 399960 5100040 1S  32701 -178.2745 -176.8756 -45.2413  -44.246  
01GDM 399960 5200000 1S  32701 -178.2549 -176.8776 -44.3414  -43.3462 
01GDN 399960 5300020 1S  32701 -178.2361 -176.8794 -43.4409  -42.4457 
01GDP 399960 5400040 1S  32701 -178.2182 -176.8811 -42.5402  -41.545  
01GDQ 399960 5500000 1S  32701 -178.2011 -176.8828 -41.6399  -40.6448 
01GDR 399960 5600020 1S  32701 -178.1847 -176.8844 -40.7389  -39.7439 
01GEH 499980 4800040 1S  32701 -177.0003 -175.5303 -47.9412  -46.9441 
01GEJ 499980 4900000 1S  32701 -177.0003 -175.5551 -47.0417  -46.0448 
01GEK 499980 5000020 1S  32701 -177.0003 -175.5788 -46.1416  -45.1448 
01GEL 499980 5100040 1S  32701 -177.0003 -175.6014 -45.2413  -44.2446 
01GEM 499980 5200000 1S  32701 -177.0003 -175.623  -44.3415  -43.3448 
01GEN 499980 5300020 1S  32701 -177.0002 -175.6436 -43.4409  -42.4444 
